epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision,recall,mAP50,mAP50_95
1,2.3203,4.7436,1.4955,0.5740,0.7513,0.7567,0.3508
2,1.9300,1.9911,1.2869,0.7179,0.7123,0.7893,0.3521
3,1.8701,1.6266,1.2664,0.7203,0.8199,0.8712,0.4044
4,1.9399,1.5410,1.2801,0.6983,0.8421,0.8269,0.3810
5,1.8031,1.3905,1.2320,0.7206,0.8283,0.8057,0.3627
6,1.7958,1.2959,1.2010,0.8223,0.8202,0.8755,0.4183
7,1.8143,1.2332,1.2252,0.8779,0.8553,0.9106,0.4376
8,1.7806,1.1961,1.2162,0.8665,0.8587,0.9003,0.4553
9,1.7206,1.2170,1.1781,0.8737,0.8388,0.9018,0.4531
10,1.7193,1.2142,1.1817,0.8901,0.8884,0.9265,0.4704
11,1.6961,1.0558,1.1629,0.9252,0.8467,0.9221,0.4502
12,1.6932,1.0709,1.1407,0.8776,0.8959,0.9305,0.4689
13,1.6579,1.0611,1.1648,0.9171,0.8518,0.9078,0.4559
14,1.6677,0.9826,1.1404,0.9406,0.8885,0.9332,0.4715
15,1.6541,1.0014,1.1446,0.9303,0.8724,0.9347,0.4980
16,1.6341,0.9491,1.1454,0.9537,0.9153,0.9570,0.4993
17,1.6099,0.9475,1.1375,0.9464,0.8919,0.9467,0.4854
18,1.5995,0.9054,1.1297,0.9401,0.8902,0.9470,0.4875
19,1.5998,0.9079,1.1377,0.9544,0.8989,0.9423,0.4797
20,1.5803,0.8796,1.1045,0.9553,0.9097,0.9567,0.4928
21,1.5912,0.8904,1.1192,0.9581,0.9231,0.9568,0.4908
22,1.6059,0.8618,1.1424,0.9343,0.8885,0.9215,0.4647
23,1.5880,0.8881,1.1167,0.9205,0.9199,0.9459,0.4919
24,1.5693,0.8516,1.1242,0.9520,0.8909,0.9317,0.4805
25,1.5969,0.8591,1.1235,0.9512,0.9127,0.9504,0.4879
26,1.5260,0.7949,1.1082,0.9592,0.9231,0.9626,0.4892
27,1.5837,0.8048,1.1123,0.9563,0.9330,0.9600,0.4861
28,1.5715,0.8088,1.1134,0.9686,0.9569,0.9618,0.5020
29,1.5255,0.7872,1.0972,0.9686,0.9543,0.9688,0.4965
30,1.5188,0.7786,1.0922,0.9669,0.8567,0.8641,0.4546
31,1.5485,0.7733,1.1031,0.9750,0.9517,0.9743,0.5054
32,1.4762,0.7477,1.0823,0.9727,0.9238,0.9623,0.5156
33,1.5020,0.7315,1.0793,0.9589,0.9415,0.9609,0.5194
34,1.5258,0.7651,1.1057,0.9684,0.9568,0.9687,0.5175
35,1.4968,0.7407,1.0790,0.9736,0.9503,0.9701,0.5100
36,1.4917,0.7213,1.0892,0.9706,0.9559,0.9770,0.5257
37,1.4824,0.7249,1.0945,0.9664,0.9573,0.9697,0.5177
38,1.4878,0.7111,1.1147,0.9663,0.9587,0.9652,0.5128
39,1.5132,0.7292,1.0969,0.9630,0.9324,0.9529,0.5068
40,1.4443,0.6974,1.0592,0.9637,0.9467,0.9623,0.5076
41,1.4389,0.6993,1.0579,0.9751,0.9579,0.9610,0.5087
42,1.4383,0.6815,1.0536,0.9703,0.9501,0.9667,0.5136
43,1.4457,0.6730,1.0831,0.9653,0.9626,0.9641,0.5338
44,1.4332,0.6800,1.0635,0.9669,0.9565,0.9702,0.5058
45,1.4355,0.6566,1.0618,0.9689,0.9523,0.9683,0.5270
46,1.4577,0.6862,1.0699,0.9595,0.9560,0.9613,0.5122
47,1.4542,0.6491,1.0609,0.9801,0.9579,0.9734,0.5278
48,1.4339,0.6543,1.0692,0.9641,0.9490,0.9628,0.5202
49,1.3834,0.6291,1.0544,0.9759,0.9537,0.9725,0.5226
50,1.4133,0.6372,1.0483,0.9631,0.9526,0.9696,0.5340
51,1.3763,0.6315,1.0395,0.9714,0.9434,0.9706,0.5292
52,1.4043,0.6479,1.0579,0.9710,0.9656,0.9703,0.5147
53,1.4237,0.6390,1.0648,0.9772,0.9620,0.9770,0.5265
54,1.4191,0.6557,1.0583,0.9653,0.9666,0.9777,0.5328
55,1.3844,0.6384,1.0396,0.9698,0.9322,0.9638,0.5261
56,1.3694,0.6182,1.0220,0.9713,0.9628,0.9708,0.5276
57,1.3861,0.6195,1.0559,0.9781,0.9659,0.9731,0.5329
58,1.3576,0.6309,1.0302,0.9589,0.9646,0.9703,0.5363
59,1.3274,0.6142,1.0248,0.9650,0.9624,0.9664,0.5305
60,1.3640,0.6102,1.0395,0.9638,0.9646,0.9670,0.5254
61,1.3625,0.6317,1.0434,0.9716,0.9707,0.9786,0.5313
62,1.3099,0.6041,1.0127,0.9668,0.9736,0.9748,0.5344
63,1.3371,0.6024,1.0299,0.9713,0.9787,0.9701,0.5298
64,1.3328,0.5993,1.0460,0.9813,0.9736,0.9804,0.5491
65,1.3228,0.6383,1.0339,0.9608,0.9824,0.9771,0.5396
66,1.3200,0.6030,1.0136,0.9633,0.9681,0.9674,0.5197
67,1.3114,0.5835,1.0093,0.9685,0.9657,0.9733,0.5329
68,1.3174,0.5798,1.0404,0.9795,0.9720,0.9806,0.5344
69,1.3174,0.5941,1.0120,0.9753,0.9774,0.9768,0.5339
70,1.2660,0.5545,1.0146,0.9754,0.9729,0.9796,0.5331
71,1.2442,0.5486,1.0016,0.9721,0.9687,0.9745,0.5400
72,1.2676,0.5738,1.0070,0.9784,0.9641,0.9810,0.5374
73,1.2873,0.5657,1.0327,0.9754,0.9745,0.9805,0.5390
74,1.2465,0.5514,0.9941,0.9781,0.9747,0.9789,0.5353
75,1.2112,0.5328,0.9811,0.9731,0.9780,0.9795,0.5407
76,1.2337,0.5291,0.9879,0.9778,0.9668,0.9715,0.5326
77,1.2244,0.5350,0.9824,0.9757,0.9750,0.9796,0.5426
78,1.2137,0.5252,1.0023,0.9712,0.9801,0.9784,0.5435
79,1.2022,0.5282,0.9931,0.9686,0.9786,0.9746,0.5467
80,1.2236,0.5399,1.0031,0.9653,0.9799,0.9795,0.5404
81,1.1980,0.5274,0.9901,0.9717,0.9760,0.9801,0.5446
82,1.1896,0.5123,0.9804,0.9703,0.9695,0.9752,0.5414
83,1.1731,0.5125,0.9738,0.9788,0.9676,0.9746,0.5345
84,1.1995,0.5279,1.0018,0.9826,0.9672,0.9800,0.5417
