epoch,train_box_loss,train_cls_loss,train_dfl_loss,precision,recall,mAP50,mAP50_95
1,2.6101,5.9332,1.4311,0.5219,0.4745,0.5357,0.2239
2,2.0417,1.9572,1.1536,0.6995,0.7850,0.8459,0.3949
3,1.9628,1.6342,1.1209,0.7768,0.8043,0.8378,0.3827
4,2.0023,1.4431,1.1275,0.7589,0.7352,0.7985,0.3418
5,1.9119,1.4573,1.1293,0.8171,0.8286,0.8716,0.4121
6,1.9113,1.3673,1.1007,0.7378,0.8619,0.8722,0.4266
7,1.7963,1.1940,1.0688,0.9067,0.8569,0.9124,0.4304
8,1.8262,1.1971,1.0747,0.8702,0.8755,0.9073,0.4526
9,1.7680,1.1491,1.0602,0.9192,0.8734,0.9066,0.4557
10,1.7946,1.1336,1.0615,0.9196,0.8655,0.9047,0.4322
11,1.8309,1.1314,1.0728,0.9237,0.8670,0.9134,0.4460
12,1.7644,1.1245,1.0438,0.8981,0.8859,0.9280,0.4600
13,1.7110,1.0304,1.0410,0.9444,0.8966,0.9265,0.4713
14,1.7392,1.0516,1.0560,0.9085,0.8995,0.9289,0.4611
15,1.7537,1.0498,1.0614,0.9301,0.9010,0.9420,0.4661
16,1.6964,0.9961,1.0370,0.9163,0.9075,0.9401,0.4604
17,1.7060,0.9564,1.0171,0.9056,0.8866,0.9184,0.4463
18,1.6403,0.9285,1.0148,0.9644,0.9161,0.9435,0.4758
19,1.7128,0.9483,1.0616,0.9287,0.8882,0.9187,0.4504
20,1.6787,0.9318,1.0238,0.9574,0.9134,0.9465,0.4742
21,1.6298,0.8909,1.0161,0.9516,0.9130,0.9528,0.4974
22,1.6776,0.9078,1.0322,0.9373,0.8986,0.9325,0.4595
23,1.6570,0.9094,1.0246,0.9119,0.9229,0.9419,0.4942
24,1.6218,0.8769,1.0276,0.8944,0.9375,0.9373,0.4784
25,1.6185,0.8410,1.0148,0.9456,0.9403,0.9485,0.5083
26,1.5819,0.8634,1.0092,0.9643,0.9448,0.9627,0.5017
27,1.6247,0.8290,1.0019,0.9500,0.9126,0.9357,0.4644
28,1.6331,0.8529,1.0175,0.9580,0.9471,0.9619,0.5100
29,1.5829,0.8219,0.9898,0.9775,0.9404,0.9633,0.5165
30,1.5698,0.7965,0.9953,0.9656,0.9408,0.9690,0.5183
31,1.5714,0.7885,1.0029,0.9785,0.9512,0.9697,0.5338
32,1.5398,0.7878,0.9966,0.9505,0.9399,0.9589,0.5159
33,1.5618,0.7773,0.9795,0.9607,0.9565,0.9670,0.5164
34,1.5498,0.7930,0.9995,0.9624,0.9285,0.9571,0.5061
35,1.5826,0.7825,0.9862,0.9777,0.9499,0.9679,0.5080
36,1.5466,0.7670,0.9880,0.9646,0.9423,0.9606,0.5256
37,1.5448,0.7703,0.9842,0.9425,0.9502,0.9584,0.5109
38,1.5291,0.7322,0.9943,0.9751,0.9569,0.9651,0.5137
39,1.5013,0.7402,0.9874,0.9687,0.9511,0.9679,0.5179
40,1.5105,0.7349,0.9700,0.9731,0.9527,0.9707,0.5217
41,1.4988,0.7176,0.9722,0.9671,0.9580,0.9654,0.5113
42,1.5116,0.7235,0.9704,0.9671,0.9605,0.9633,0.4926
43,1.4872,0.7058,0.9880,0.9703,0.9577,0.9658,0.4946
44,1.5172,0.7091,0.9899,0.9783,0.9670,0.9730,0.5199
45,1.4567,0.6975,0.9721,0.9719,0.9651,0.9783,0.5264
46,1.4779,0.7336,0.9641,0.9708,0.9461,0.9702,0.5202
47,1.4737,0.6995,0.9597,0.9665,0.9456,0.9614,0.5097
48,1.4576,0.6756,0.9665,0.9799,0.9509,0.9755,0.5220
49,1.4554,0.6848,0.9613,0.9748,0.9429,0.9664,0.5134
50,1.4468,0.6810,0.9533,0.9707,0.9492,0.9603,0.4889
51,1.4804,0.6864,0.9663,0.9605,0.9435,0.9630,0.4847
